X,Y,Distancia,Angulo
-0.3537499904632555,3.092580759258903e-08,0.35374999046325684,-3.1415927410125732
-0.35874038897083715,-0.00262403451441796,0.35874998569488525,-3.134278206154704
-0.35871159885333626,-0.005247960000185762,0.35874998569488525,-3.126963671296835
-0.35866361688271536,-0.00787160470864437,0.35874998569488525,-3.119649136438966
-0.36109540306683785,-0.010567963765851653,0.36125001311302185,-3.1123346015810966
-0.36100844432085816,-0.013208902421938987,0.36125001311302185,-3.1050200667232275
-0.36290021934077743,-0.01593687931270158,0.3632499873638153,-3.0977055318653584
-0.36402230220563503,-0.018654849666913782,0.3644999861717224,-3.090390997007489
-0.36387611388055513,-0.021316980704853907,0.3644999861717224,-3.08307646214962
-0.3662050695986782,-0.024142431012305933,0.367000013589859,-3.075761927291751
-0.3660186841350755,-0.026820381037273206,0.367000013589859,-3.0684473924338818
-0.3695505805204326,-0.029798294616993518,0.3707500100135803,-3.0611328575760126
-0.372062128834563,-0.032741631766777635,0.3734999895095825,-3.0538183227181435
-0.37181268809544304,-0.035462193035668915,0.3734999895095825,-3.0465037878602743
-0.3735328813023892,-0.038385306453403496,0.37549999356269836,-3.039189253002405
-0.37324212073191787,-0.04111647452210544,0.37549999356269836,-3.031874718144536
-0.3759108902712635,-0.044195741705745896,0.3785000145435333,-3.024560183286667
-0.3792986080392425,-0.04740924829565846,0.38225001096725464,-3.0172456484287977
-0.378941687880709,-0.050182348197206246,0.38225001096725464,-3.0099311135709286
-0.3822783338188831,-0.05347224699310917,0.38600000739097595,-3.0026165787130594
-0.3818769863295722,-0.056266979816560446,0.38600000739097595,-2.9953020438551903
-0.3854080897776241,-0.05967070617961179,0.38999998569488525,-2.987987508997321
-0.38816933406518006,-0.06300890088405448,0.3932499885559082,-2.980672974139452
-0.3876980734198929,-0.06584646813402577,0.3932499885559082,-2.973358439281583
-0.38819071759836393,-0.06885516388991798,0.3942500054836273,-2.9660439044237137
-0.3876766940678162,-0.07169273115518075,0.3942500054836273,-2.9587293695658445
-0.38517798373449286,-0.07414839491497435,0.3922500014305115,-2.9514148347079754
-0.3846253236202648,-0.07696378403017116,0.3922500014305115,-2.9441002998501062
-0.378422258150166,-0.07860563131048146,0.3865000009536743,-2.936785764992237
-0.16507155297141954,-0.04063721210382439,0.17000000178813934,-2.9002130907028913
-0.16476989747337709,-0.04184353587569026,0.17000000178813934,-2.892898555845022
-0.16445942642635042,-0.04304762092709903,0.17000000178813934,-2.885584020987153
-0.16462291538673354,-0.044379546462396925,0.1704999953508377,-2.878269486129284
-0.1642938986992105,-0.0455824885767467,0.1704999953508377,-2.8709549512714148
-0.16059042460553452,-0.04582263732743517,0.16699999570846558,-2.8636404164135456
-0.143453719270968,-0.045511320391725826,0.15049999952316284,-2.834382276982069
-0.14311699055649443,-0.046559390787727195,0.15049999952316284,-2.8270677421242
-0.14277260477079565,-0.04760497015474536,0.15049999952316284,-2.8197532072663307
-0.16170027061285208,-0.05788853925656859,0.1717499941587448,-2.7978096026927233
-0.1612725209916883,-0.05906974239417619,0.1717499941587448,-2.790495067834854
-0.16083614293881204,-0.06024778517169651,0.1717499941587448,-2.783180532976985
-0.158756904689255,-0.06079675831369782,0.17000000178813934,-2.775865998119116
-0.15737673654470286,-0.06159190461378592,0.16899999976158142,-2.7685514632612467
-0.15692201442934328,-0.06274138432367823,0.16899999976158142,-2.7612369284033775
-0.15599600645889805,-0.06369849337228527,0.16850000619888306,-2.7539223935455084
-0.15714115988489935,-0.06551120425499253,0.17024999856948853,-2.7466078586876392
-0.15665777647326093,-0.0666588560010196,0.17024999856948853,-2.73929332382977
-0.40076642485449004,-0.1810147033743152,0.43974998593330383,-2.7173497192561626
-0.39943167736435303,-0.1839412548783994,0.43974998593330383,-2.7100351843982935
-0.39807555940805894,-0.18685796512405312,0.43974998593330383,-2.7027206495404243
-0.39692367889843905,-0.18987256524217855,0.4399999976158142,-2.695406114682555
-0.39552424364429506,-0.19277077214018942,0.4399999976158142,-2.688091579824686
-0.3905208792730445,-0.19387994662719565,0.4359999895095825,-2.680777044966817
-0.38909230343132295,-0.1967312132399517,0.4359999895095825,-2.6734625101089478
-0.3880874757086982,-0.19980083192414233,0.43650001287460327,-2.6661479752510786
-0.3875013628249492,-0.20309835993628092,0.4375,-2.6588334403932095
-0.386005439954365,-0.20592729378505686,0.4375,-2.6515189055353403
-0.3842691467608272,-0.2086259215230713,0.4372499883174896,-2.644204370677471
-0.3827328791741728,-0.21143106555729424,0.4372499883174896,-2.636889835819602
-0.37856086851343734,-0.2127550912329799,0.43424999713897705,-2.629575300961733
-0.3741730578463309,-0.21390539462463956,0.4309999942779541,-2.6222607661038637
-0.37259844379538404,-0.21663654989141265,0.4309999942779541,-2.6149462312459946
-0.3746623030726401,-0.22151914906247805,0.43525001406669617,-2.6076316963881254
-0.3730319853582148,-0.22425367922236597,0.43525001406669617,-2.6003171615302563
-0.3762879587592014,-0.22997474844041066,0.4410000145435333,-2.593002626672387
-0.3745957493318275,-0.23272094321294604,0.4410000145435333,-2.585688091814518
-0.37436318813635355,-0.2363890267987393,0.4427500069141388,-2.578373556956649
-0.3738865162372458,-0.2399310827311891,0.4442499876022339,-2.5710590220987797
-0.37212154574624484,-0.24265944588251742,0.4442499876022339,-2.5637444872409105
-0.37158710803277456,-0.2462033345497941,0.44574999809265137,-2.5564299523830414
-0.3697763208579884,-0.24891471096005702,0.44574999809265137,-2.5491154175251722
-0.36815212277968024,-0.251753894135244,0.44600000977516174,-2.541800882667303
-0.3673274549748205,-0.25515311285437303,0.44725000858306885,-2.534486347809434
-0.36545131886876187,-0.2578330927453606,0.44725000858306885,-2.527171812951565
-0.3653845739498087,-0.2618097748170145,0.4494999945163727,-2.5198572780936956
-0.36345979986614846,-0.2644753654907738,0.4494999945163727,-2.5125427432358265
-0.3645315579731172,-0.2693553369229709,0.453249990940094,-2.5052282083779573
-0.36535125298297305,-0.2741149931197949,0.4567500054836273,-2.497913673520088
-0.36333647364507177,-0.2767800108903417,0.4567500054836273,-2.490599138662219
-0.35952242852309474,-0.27805370716785865,0.4544999897480011,-2.48328460380435
-0.35747899550830514,-0.2806759848139955,0.4544999897480011,-2.4759700689464808
-0.3509199685434672,-0.27969935385753353,0.44874998927116394,-2.4686555340886116
-0.34517202274605907,-0.279270979148516,0.4440000057220459,-2.4613409992307425
-0.34312006992133914,-0.28178825862401036,0.4440000057220459,-2.4540264643728733
-0.3374011312939216,-0.28124905759692576,0.43924999237060547,-2.446711929515004
-0.33533491775428037,-0.28370944420710953,0.43924999237060547,-2.439397394657135
-0.33059539002913935,-0.2838745448970348,0.43575000762939453,-2.432082859799266
-0.3262484509149089,-0.2843140855109904,0.43274998664855957,-2.4247683249413967
-0.3241601166680292,-0.286692814186366,0.43274998664855957,-2.4174537900835276
-0.31907763774039616,-0.28638441080049415,0.42875000834465027,-2.4101392552256584
-0.31697435198912877,-0.2887106333971951,0.42875000834465027,-2.4028247203677893
-0.3121002840859477,-0.28847603506402486,0.42500001192092896,-2.39551018550992
-0.3099818858643406,-0.2907511660660652,0.42500001192092896,-2.388195650652051
-0.30549277755384163,-0.29077006896252205,0.421750009059906,-2.380881115794182
-0.301919206752666,-0.2916073718153252,0.41975000500679016,-2.3735665809363127
-0.2997781768184026,-0.2938079498696979,0.41975000500679016,-2.3662520460784435
-0.295493983170494,-0.29387732123439764,0.4167500138282776,-2.3589375112205744
-0.2933365216418742,-0.29603084146236497,0.4167500138282776,-2.3516229763627052
-0.2887180726721551,-0.29566439829867464,0.41324999928474426,-2.344308441504836
-0.2848142215020167,-0.29596692906678984,0.41075000166893005,-2.336993906646967
-0.2826417612956346,-0.29804227660304766,0.41075000166893005,-2.329679371789098
-0.2792593095783201,-0.2988231008805537,0.4090000092983246,-2.3223648369312286
-0.2770661065898906,-0.30085774077651545,0.4090000092983246,-2.3150503020733595
-0.2733460139678415,-0.3012100826850718,0.40674999356269836,-2.3077357672154903
